Wavelength;ENO3;EBr_20C;Reference
321.679;0.000939;0.001792;4708.08
322.488;0.000984;0.001769;4652.46
323.296;0.001015;0.001822;4753.25
324.105;0.001014;0.001842;4907.13
324.913;0.001035;0.001887;4868.54
325.721;0.001064;0.001891;4632.05
326.529;0.001053;0.001978;4380.31
327.337;0.001057;0.001997;4114.99
328.144;0.001083;0.002047;3837.87
328.951;0.001099;0.002082;3644.36
329.758;0.001070;0.002137;3529.09
330.565;0.001132;0.002128;3446.45
331.372;0.001149;0.002206;3407.21
332.178;0.001129;0.002243;3421.19
332.984;0.001172;0.002239;3461.24
333.79;0.001215;0.002237;3454.29
334.596;0.001189;0.002352;3369.48
335.401;0.001201;0.002359;3270.15
336.206;0.001258;0.002377;3196.82
337.011;0.001231;0.002451;3159.97
337.816;0.001238;0.002483;3155.83
338.621;0.001289;0.002485;3154.25
339.425;0.001303;0.002552;3114.4
340.229;0.001290;0.002610;3073.95
341.033;0.001328;0.002614;3063.8
341.836;0.001334;0.002653;3082.93
342.64;0.001316;0.002738;3115.96
343.443;0.001362;0.002753;3190.3
344.246;0.001413;0.002741;3293.68
345.048;0.001410;0.002817;3355.21
345.85;0.001421;0.002852;3335.95
346.652;0.001455;0.002842;3246.36
347.454;0.001453;0.002902;3147.75
348.256;0.001422;0.003011;3095.88
349.057;0.001480;0.002983;3118.42
349.858;0.001511;0.003011;3176
350.659;0.001491;0.003089;3214.5
351.459;0.001512;0.003110;3254.61
352.259;0.001565;0.003133;3333.57
353.059;0.001568;0.003188;3458.87
353.859;0.001565;0.003239;3592.19
354.658;0.001635;0.003213;3718.49
355.458;0.001647;0.003259;3860.25
356.256;0.001631;0.003333;4038.1
357.055;0.001643;0.003356;4226.76
357.853;0.001718;0.003335;4317.7
358.651;0.001707;0.003425;4286.59
359.449;0.001705;0.003494;4332
360.246;0.001753;0.003483;4561.23
361.044;0.001766;0.003499;4813.39
361.84;0.001776;0.003558;4826.24
362.637;0.001804;0.003591;4487.94
363.433;0.001843;0.003623;4040
364.229;0.001820;0.003720;3723.02
365.025;0.001805;0.003768;3525.17
365.82;0.001854;0.003778;3392.8
366.615;0.001861;0.003801;3290.75
367.41;0.001837;0.003862;3178.65
368.205;0.001877;0.003911;3046.34
368.999;0.001905;0.003950;2890.79
369.793;0.001914;0.003989;2567.68
370.586;0.001920;0.003991;2066.71
371.379;0.001956;0.004008;1374.19
372.172;0.001966;0.004006;689.334
372.965;0.001971;0.004146;276.541
373.757;0.001987;0.004310;104.509
374.549;0.002145;0.004634;41.6486
375.341;0.002242;0.004466;17.2956
376.132;0.001456;0.004977;8.18048
376.923;0.001953;0.003830;4.42435
377.714;0.006008;-0.006327;3.79291
378.504;0.001383;-0.007840;3.36944
379.294;-0.000835;-0.001018;2.07428
380.084;0.001362;-0.008559;1.55311
380.873;0.006156;-0.046345;0.983985
381.662;-0.001375;-0.019859;2.46866
382.451;-0.007050;-0.006719;0.692491
383.239;0.011423;-0.049929;1.31578
384.027;0.000000;0.000000;0.867689
384.815;0.000000;0.000000;0.802702
385.602;0.001357;-0.017763;-1.26545
386.389;0.000000;0.000000;0.411218
387.176;0.000000;0.000000;0.636068
387.962;0.000000;0.000000;0.118101
388.748;-0.005380;-0.021526;-0.734477
389.533;0.000000;0.000000;-1.52921
390.319;0.000000;0.000000;-1.0893
391.103;0.000000;0.000816;-1.20241
391.888;0.000000;0.015754;-2.38568
392.672;0.000000;0.000000;-1.74099
393.456;0.000000;0.000000;-0.324663
